Year-Month,ZIP CODE,Median Sales
2019-01,10461.0,565000.0
2019-01,10462.0,233000.0
2019-01,10463.0,293000.0
2019-01,10464.0,375000.0
2019-01,10465.0,508402.0
2019-01,10466.0,550000.0
2019-01,10467.0,374600.0
2019-01,10468.0,195000.0
2019-01,10469.0,475000.0
2019-01,10470.0,260000.0
2019-01,10471.0,295000.0
2019-01,10472.0,685000.0
2019-01,10473.0,385500.0
2019-01,10474.0,900000.0
2019-01,10475.0,350000.0
2019-01,11001.0,586000.0
2019-01,11004.0,385000.0
2019-01,11005.0,410000.0
2019-01,11040.0,605000.0
2019-01,11101.0,1220464.5
2019-01,11102.0,650000.0
2019-01,11103.0,730000.0
2019-01,11104.0,1152500.0
2019-01,11105.0,1260000.0
2019-01,11106.0,710000.0
2019-01,11109.0,1250000.0
2019-01,11201.0,825000.0
2019-01,11203.0,612975.0
2019-01,11204.0,977500.0
2019-01,11205.0,965000.0
2019-01,11206.0,919480.0
2019-01,11207.0,497250.0
2019-01,11208.0,525000.0
2019-01,11209.0,577500.0
2019-01,11210.0,631944.0
2019-01,11211.0,1250000.0
2019-01,11212.0,612500.0
2019-01,11213.0,672500.0
2019-01,11214.0,810000.0
2019-01,11215.0,1521250.0
2019-01,11216.0,1076944.5
2019-01,11217.0,1785000.0
2019-01,11218.0,675000.0
2019-01,11219.0,1240000.0
2019-01,11220.0,780000.0
2019-01,11221.0,815000.0
2019-01,11222.0,1528277.0
2019-01,11223.0,887500.0
2019-01,11224.0,375000.0
2019-01,11225.0,700000.0
2019-01,11226.0,650000.0
2019-01,11227.0,1200000.0
2019-01,11228.0,982500.0
2019-01,11229.0,615000.0
2019-01,11230.0,738231.0
2019-01,11231.0,1750000.0
2019-01,11232.0,1250000.0
2019-01,11233.0,842500.0
2019-01,11234.0,594500.0
2019-01,11235.0,450000.0
2019-01,11236.0,468000.0
2019-01,11237.0,2000000.0
2019-01,11238.0,1463868.0
2019-01,11249.0,1315000.0
2019-01,11354.0,734927.0
2019-01,11355.0,391476.0
2019-01,11356.0,872944.0
2019-01,11357.0,885000.0
2019-01,11358.0,825000.0
2019-01,11360.0,470000.0
2019-01,11361.0,700000.0
2019-01,11362.0,721000.0
2019-01,11363.0,340000.0
2019-01,11364.0,358800.0
2019-01,11365.0,775000.0
2019-01,11366.0,932500.0
2019-01,11367.0,325000.0
