Year-Month,zip,Median Sales
2004-1,11218,152500.0
2004-1,11219,280000.0
2004-1,11220,165000.0
2004-1,11222,192660.0
2004-1,11223,145000.0
2004-1,11224,244495.0
2004-1,11225,100373.0
2004-1,11226,252000.0
2004-1,11229,132500.0
2004-1,11230,164500.0
2004-1,11231,505000.0
2004-1,11233,401700.0
2004-1,11235,253220.0
2004-1,11236,148868.5
2004-1,11238,315107.0
2004-10,10001,1215000.0
2004-10,10002,460000.0
2004-10,10003,595000.0
2004-10,10005,348500.0
2004-10,10007,1057500.0
2004-10,10009,510000.0
2004-10,10011,526500.0
2004-10,10012,1300000.0
2004-10,10013,1943287.5
2004-10,10014,495000.0
2004-10,10016,499875.0
2004-10,10017,380000.0
2004-10,10018,585000.0
2004-10,10019,407500.0
2004-10,10020,387500.0
2004-10,10021,775000.0
2004-10,10022,490000.0
2004-10,10023,645000.0
2004-10,10024,411010.5
2004-10,10025,448906.0
2004-10,10026,276330.0
2004-10,10027,185089.0
2004-10,10028,550000.0
2004-10,10029,620522.0
2004-10,10030,230000.0
2004-10,10031,344760.0
2004-10,10032,225000.0
2004-10,10034,260145.0
2004-10,10037,443658.0
2004-10,10038,715000.0
2004-10,10039,255000.0
2004-10,10044,500000.0
2004-10,10065,747500.0
2004-10,10069,463500.0
2004-10,10103,892500.0
2004-10,10110,588548.0
2004-10,10111,2310000.0
2004-10,10115,463039.0
2004-10,10119,845000.0
2004-10,10152,450000.0
2004-10,10153,825000.0
2004-10,10154,743322.0
2004-10,10162,587250.0
2004-10,10171,397870.0
2004-10,10199,382500.0
2004-10,10278,1612500.0
2004-10,10280,424000.0
2004-10,10468,150000.0
2004-10,11201,471510.0
2004-10,11204,243000.0
2004-10,11205,215000.0
2004-10,11209,235000.0
2004-10,11210,130500.0
2004-10,11211,265000.0
2004-10,11213,315000.0
2004-10,11214,142500.0
2004-10,11215,534000.0
2004-10,11216,400530.0
2004-10,11217,455361.0
2004-10,11218,183260.0
2004-10,11219,330000.0
2004-10,11220,200000.0
2004-10,11222,430950.0
2004-10,11223,180000.0
2004-10,11224,385000.0
2004-10,11225,118000.0
2004-10,11226,176803.5
2004-10,11228,387500.0
2004-10,11229,157000.0
2004-10,11230,192500.0
2004-10,11231,375000.0
2004-10,11233,625000.0
2004-10,11235,270000.0
2004-10,11236,350000.0
2004-10,11237,400000.0
2004-10,11238,466720.0
2004-11,10001,1272812.0
2004-11,10002,392000.0
2004-11,10003,639000.0
2004-11,10007,900000.0
2004-11,10009,465000.0
2004-11,10011,661270.5
2004-11,10012,1151400.0
2004-11,10013,1639382.0
2004-11,10014,430000.0
2004-11,10016,440000.0
2004-11,10017,447500.0
2004-11,10018,499000.0
2004-11,10019,690000.0
2004-11,10020,477500.0
2004-11,10021,800000.0
2004-11,10022,599000.0
2004-11,10023,647500.0
2004-11,10025,527500.0
2004-11,10026,329527.5
2004-11,10027,260000.0
2004-11,10028,537290.5
2004-11,10029,665000.0
2004-11,10030,304750.0
2004-11,10031,299665.5
2004-11,10032,320000.0
2004-11,10034,297000.0
2004-11,10037,646888.0
2004-11,10038,502500.0
2004-11,10039,201500.0
2004-11,10044,540000.0
2004-11,10065,685000.0
2004-11,10069,570000.0
2004-11,10103,1225000.0
2004-11,10110,570429.0
2004-11,10115,295000.0
2004-11,10119,831000.0
2004-11,10152,540000.0
2004-11,10153,1047284.0
2004-11,10154,445000.0
2004-11,10162,649500.0
2004-11,10167,417500.0
2004-11,10171,529336.0
2004-11,10199,507000.0
2004-11,10271,475000.0
2004-11,10278,681000.0
2004-11,10280,525000.0
2004-11,10468,287500.0
2004-11,11201,362500.0
2004-11,11204,570220.0
2004-11,11205,230000.0
2004-11,11209,294093.0
2004-11,11210,152500.0
2004-11,11211,385000.0
2004-11,11213,310000.0
2004-11,11214,180000.0
2004-11,11215,552500.0
2004-11,11216,385320.0
2004-11,11217,530000.0
2004-11,11218,182520.0
2004-11,11219,274500.0
2004-11,11220,152015.0
2004-11,11221,468000.0
2004-11,11222,430950.0
2004-11,11223,217500.0
2004-11,11224,375000.0
2004-11,11226,130146.0
2004-11,11228,180000.0
